                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76363,                  3.246,                  1.022,                0.26612,                0.31579,                0.18643,                0.14864,                0.66666,                 3.2409,                 1.0154,                 0.0991,                 0.0001,                 0.0001
                      1,                0.87738,                 3.3373,                 1.1234,                0.26889,                0.31579,                0.17302,                0.13897,                0.69039,                 3.2778,                 1.0139,               0.097297,             0.00029703,             0.00029703
                      2,                0.84247,                 3.1155,                 1.1248,                0.30453,                0.31579,                0.17058,                0.13552,                0.70123,                 3.3585,                 1.0195,                0.09549,              0.0004901,              0.0004901
                      3,                0.83495,                 2.8817,                 1.1161,                0.57955,                0.42105,                0.46373,                0.38222,                 0.6532,                 2.5025,                0.99549,               0.093679,             0.00067921,             0.00067921
                      4,                0.79176,                 2.4602,                 1.0128,                0.56265,                0.67737,                0.55954,                0.50162,                0.57712,                 1.5845,                0.96245,               0.091864,             0.00086436,             0.00086436
                      5,                0.78123,                 1.5532,                 1.0528,                0.82848,                0.57895,                0.65344,                0.58129,                0.58553,                  1.576,                0.91813,               0.090046,              0.0010455,              0.0010455
                      6,                 0.7489,                 1.4944,                 1.1159,                0.84185,                0.57895,                0.62975,                0.54105,                0.62414,                  1.356,                0.93677,               0.088223,              0.0012228,              0.0012228
                      7,                0.66171,                 1.2747,                 1.0874,                0.88292,                0.52632,                0.59198,                0.49571,                 0.7282,                 1.4753,                 1.0169,               0.086396,               0.001396,               0.001396
                      8,                0.59786,                  1.059,                  1.037,                0.82331,                0.52632,                0.56892,                0.47625,                0.74848,                 1.7137,                 1.0434,               0.084565,              0.0015654,              0.0015654
                      9,                0.63711,                 1.1629,                0.98762,                0.60545,                0.52632,                0.54507,                0.45977,                0.80369,                 1.8111,                 1.0509,               0.082731,              0.0017307,              0.0017307
                     10,                0.57609,                 1.0201,                0.98121,                0.81226,                0.52632,                0.59847,                0.50223,                 0.7525,                  1.425,                0.99749,               0.080892,              0.0018921,              0.0018921
                     11,                0.51271,                  1.129,                0.96203,                0.67528,                0.57895,                0.63892,                0.53308,                0.69426,                 1.3228,                 0.9589,                0.07905,              0.0020495,              0.0020495
                     12,                0.64913,                 1.0588,                0.99599,                0.80426,                0.57895,                0.68023,                0.58141,                 0.6478,                 1.1583,                0.92636,               0.077203,               0.002203,               0.002203
                     13,                0.56353,                0.90927,                0.93352,                0.74776,                0.63158,                0.63941,                0.54664,                0.62592,                 1.0601,                0.93814,               0.075353,              0.0023525,              0.0023525
                     14,                0.59711,                0.98324,                0.97504,                0.79143,                0.68421,                0.77153,                0.66346,                0.59275,                0.90587,                0.90859,               0.073498,              0.0024981,              0.0024981
                     15,                0.45686,                0.91345,                0.89633,                0.74835,                0.68421,                0.68192,                0.60168,                0.56852,                  1.102,                0.91092,                0.07164,              0.0026396,              0.0026396
                     16,                0.42999,                0.99011,                0.93157,                0.74627,                0.68421,                0.75745,                0.67279,                0.53188,                0.89543,                0.90902,               0.069777,              0.0027773,              0.0027773
                     17,                0.51544,                0.91225,                0.94617,                0.79089,                0.59802,                0.68534,                0.57384,                0.62044,                 1.0379,                0.94494,               0.067911,              0.0029109,              0.0029109
                     18,                0.56691,                0.83828,                0.96678,                0.57672,                0.68421,                0.61785,                0.50866,                0.67443,                 1.3087,                0.90818,               0.066041,              0.0030407,              0.0030407
                     19,                0.51581,                0.82341,                0.89445,                0.90878,                0.57895,                0.72797,                0.53891,                0.80961,                 1.1044,                 0.9628,               0.064166,              0.0031664,              0.0031664
                     20,                0.58277,                0.72717,                0.91575,                   0.62,                 0.6871,                0.75082,                0.57702,                0.82017,                 1.1721,                0.96688,               0.062288,              0.0032882,              0.0032882
                     21,                0.51532,                0.66091,                0.92521,                0.77615,                0.68421,                0.75615,                0.60781,                0.69769,                 1.0484,                0.87873,               0.060406,               0.003406,               0.003406
                     22,                0.50132,                0.87755,                  0.956,                0.71971,                0.57895,                0.64673,                0.51456,                0.73129,                 1.2746,                0.93007,                0.05852,              0.0035199,              0.0035199
                     23,                0.48623,                0.56815,                0.87405,                0.70353,                0.63158,                0.66221,                0.55331,                0.68643,                 1.0881,                0.90723,                0.05663,              0.0036298,              0.0036298
                     24,                0.50759,                0.82693,                0.97449,                0.69828,                 0.7311,                0.69868,                0.56288,                0.66811,                 1.2526,                0.87771,               0.054736,              0.0037358,              0.0037358
                     25,                0.52315,                0.89622,                0.96729,                0.66298,                0.47368,                0.51864,                0.43437,                   0.73,                 1.2386,                0.91048,               0.052838,              0.0038378,              0.0038378
                     26,                0.48981,                0.66994,                0.91794,                0.72937,                0.52632,                0.59215,                0.51993,                  0.577,                 1.3029,                 0.8139,               0.050936,              0.0039358,              0.0039358
                     27,                 0.4645,                0.67337,                  0.859,                0.72937,                0.52632,                0.59215,                0.51993,                  0.577,                 1.3029,                 0.8139,                0.04903,              0.0040299,              0.0040299
                     28,                0.43443,                0.79363,                0.94192,                0.59662,                0.63158,                 0.5381,                0.41884,                0.71734,                 1.6614,                0.93857,                0.04712,                0.00412,                0.00412
                     29,                0.44906,                0.72418,                0.90549,                0.81589,                0.52632,                0.57696,                 0.4252,                0.74885,                 1.3565,                 0.9916,               0.045206,              0.0042061,              0.0042061
                     30,                0.48384,                0.80043,                0.89018,                0.81589,                0.52632,                0.57696,                 0.4252,                0.74885,                 1.3565,                 0.9916,               0.043288,              0.0042883,              0.0042883
                     31,                0.40535,                 0.6489,                0.87117,                 0.8258,                0.52632,                0.62022,                0.47987,                0.79543,                 1.5276,                 1.0462,               0.041367,              0.0043665,              0.0043665
                     32,                0.59142,                0.66809,                0.97578,                0.66668,                0.57895,                0.57333,                0.45913,                0.73789,                 1.4437,                0.98181,               0.039441,              0.0044408,              0.0044408
                     33,                0.54955,                0.76332,                0.99539,                0.66668,                0.57895,                0.57333,                0.45913,                0.73789,                 1.4437,                0.98181,               0.037511,              0.0045111,              0.0045111
                     34,                 0.4281,                  0.727,                0.91104,                0.80629,                0.52632,                0.61235,                0.54399,                0.65317,                 1.2411,                 0.9333,               0.035577,              0.0045775,              0.0045775
                     35,                 0.4275,                 0.5405,                0.88532,                0.64396,                0.57156,                0.56463,                0.50039,                0.58886,                 1.3319,                0.86834,                0.03364,              0.0046399,              0.0046399
                     36,                0.46862,                0.62381,                0.93641,                0.64396,                0.57156,                0.56463,                0.50039,                0.58886,                 1.3319,                0.86834,               0.031698,              0.0046983,              0.0046983
                     37,                0.45401,                0.60391,                0.93618,                0.66119,                0.51421,                0.53456,                0.45824,                0.65091,                 1.3788,                0.91984,               0.029753,              0.0047528,              0.0047528
                     38,                0.44013,                0.52574,                0.88897,                0.58755,                0.63158,                0.57137,                0.47135,                0.70992,                 1.3448,                0.95814,               0.027803,              0.0048033,              0.0048033
                     39,                0.54909,                0.81386,                0.94559,                0.58755,                0.63158,                0.57137,                0.47135,                0.70992,                 1.3448,                0.95814,                0.02585,              0.0048498,              0.0048498
                     40,                 0.5446,                 0.8352,                 0.9194,                 0.5992,                0.63158,                0.63262,                0.54912,                0.65805,                 1.5483,                0.89793,               0.023892,              0.0048924,              0.0048924
                     41,                0.52576,                0.88738,                0.91911,                0.64531,                0.68421,                0.65823,                0.56168,                0.64158,                 1.2681,                0.88575,               0.021931,               0.004931,               0.004931
                     42,                 0.5337,                0.95184,                0.92528,                0.64531,                0.68421,                0.65823,                0.56168,                0.64158,                 1.2681,                0.88575,               0.019966,              0.0049657,              0.0049657
                     43,                0.47085,                0.86869,                0.88571,                0.64707,                0.57895,                0.57924,                0.48126,                0.63614,                 1.4208,                 0.9036,               0.017996,              0.0049964,              0.0049964
                     44,                0.48028,                0.79327,                0.90288,                0.64707,                0.57895,                0.57924,                0.48126,                0.63614,                 1.4208,                 0.9036,               0.016023,              0.0050232,              0.0050232
                     45,                0.48913,                0.72771,                0.94778,                0.78478,                0.57597,                0.61249,                 0.5342,                 0.5489,                 1.4314,                0.92014,               0.014046,               0.005046,               0.005046
                     46,                0.43551,                0.75866,                0.96681,                0.78478,                0.57597,                0.61249,                 0.5342,                 0.5489,                 1.4314,                0.92014,               0.012065,              0.0050648,              0.0050648
                     47,                0.52476,                0.76908,                 1.0144,                0.65852,                0.52632,                0.51874,                0.44671,                0.64781,                 1.4907,                0.94719,                0.01008,              0.0050797,              0.0050797
                     48,                0.40273,                0.63619,                0.91139,                0.65852,                0.52632,                0.51874,                0.44671,                0.64781,                 1.4907,                0.94719,              0.0080906,              0.0050906,              0.0050906
                     49,                0.49225,                0.69849,                0.94171,                0.84863,                0.36842,                0.54949,                0.44444,                0.69729,                 1.4035,                 1.0151,              0.0060975,              0.0050975,              0.0050975
                     50,                0.44613,                0.48425,                0.87706,                0.84863,                0.36842,                0.54949,                0.44444,                0.69729,                 1.4035,                 1.0151,                0.00505,                0.00505,                0.00505
                     51,                 0.4595,                0.54868,                0.85575,                0.62866,                0.68421,                0.62191,                0.50574,                0.67939,                 1.4016,                 1.0102,                0.00505,                0.00505,                0.00505
                     52,                0.46295,                0.75268,                0.92542,                0.62866,                0.68421,                0.62191,                0.50574,                0.67939,                 1.4016,                 1.0102,               0.004951,               0.004951,               0.004951
                     53,                0.44269,                0.59067,                0.90418,                0.64144,                0.57895,                0.63972,                0.49368,                0.64687,                 1.2065,                0.99074,               0.004852,               0.004852,               0.004852
                     54,                0.50857,                0.48533,                0.91679,                0.64144,                0.57895,                0.63972,                0.49368,                0.64687,                 1.2065,                0.99074,               0.004753,               0.004753,               0.004753
                     55,                0.51635,                0.53007,                0.89492,                0.83931,                0.57895,                0.69253,                0.50721,                0.86303,                 1.1222,                 1.1579,               0.004654,               0.004654,               0.004654
                     56,                0.57849,                0.47096,                0.91353,                0.83931,                0.57895,                0.69253,                0.50721,                0.86303,                 1.1222,                 1.1579,               0.004555,               0.004555,               0.004555
                     57,                0.51901,                 0.4521,                0.85408,                 0.5329,                0.73684,                0.66906,                0.46591,                0.94125,                 1.2306,                 1.2857,               0.004456,               0.004456,               0.004456
                     58,                0.50184,                0.59745,                0.88948,                 0.5329,                0.73684,                0.66906,                0.46591,                0.94125,                 1.2306,                 1.2857,               0.004357,               0.004357,               0.004357
                     59,                0.51645,                0.62301,                0.89537,                0.55017,                0.78947,                0.69977,                 0.4699,                0.80792,                 1.2486,                 1.1866,               0.004258,               0.004258,               0.004258
                     60,                0.49144,                0.47038,                0.90484,                0.55017,                0.78947,                0.69977,                 0.4699,                0.80792,                 1.2486,                 1.1866,               0.004159,               0.004159,               0.004159
                     61,                0.49348,                0.55778,                0.98056,                0.71258,                0.68421,                 0.7081,                0.48139,                  0.797,                 1.2714,                 1.1281,                0.00406,                0.00406,                0.00406
                     62,                0.53166,                0.59862,                0.93553,                0.71258,                0.68421,                 0.7081,                0.48139,                  0.797,                 1.2714,                 1.1281,               0.003961,               0.003961,               0.003961
                     63,                  0.523,                0.58569,                0.96391,                0.79418,                0.68421,                0.71125,                0.52845,                0.73036,                 1.0633,                  1.026,               0.003862,               0.003862,               0.003862
                     64,                0.49372,                0.51391,                0.89798,                0.79418,                0.68421,                0.71125,                0.52845,                0.73036,                 1.0633,                  1.026,               0.003763,               0.003763,               0.003763
                     65,                0.45187,                0.48583,                0.91981,                0.78086,                0.68421,                0.75114,                0.59668,                0.66678,                0.97651,                0.92699,               0.003664,               0.003664,               0.003664
                     66,                0.40141,                0.46901,                0.84332,                0.78086,                0.68421,                0.75114,                0.59668,                0.66678,                0.97651,                0.92699,               0.003565,               0.003565,               0.003565
